,r,g,b,RGB,Hex,Sequence
red,0.929411764706,0.0901960784314,0.270588235294,"(0.92941176470588238, 0.090196078431372548, 0.27058823529411763)",#ED1745,0
blue,0.0588235294118,0.482352941176,0.686274509804,"(0.058823529411764705, 0.4823529411764706, 0.68627450980392157)",#0F7BAF,1
orange,1.0,0.482352941176,0.0,"(1.0, 0.4823529411764706, 0.0)",#FF7B00,2
lightblue,0.439215686275,0.890196078431,0.972549019608,"(0.4392156862745098, 0.8901960784313725, 0.97254901960784312)",#70E3F8,3
brown,0.701960784314,0.188235294118,0.0,"(0.70196078431372544, 0.18823529411764706, 0.0)",#B33000,4
green,0.380392156863,0.737254901961,0.227450980392,"(0.38039215686274508, 0.73725490196078436, 0.22745098039215686)",#61BC3A,5
yellow,1.0,0.729411764706,0.176470588235,"(1.0, 0.72941176470588232, 0.17647058823529413)",#FFBA2D,6
purple,0.803921568627,0.349019607843,1.0,"(0.80392156862745101, 0.34901960784313724, 1.0)",#CD59FF,7
turquoise,0.0,0.701960784314,0.619607843137,"(0.0, 0.70196078431372544, 0.61960784313725492)",#00B39E,8
darkbrown,0.329411764706,0.0,0.0,"(0.32941176470588235, 0.0, 0.0)",#540000,9
pink,1.0,0.482352941176,0.670588235294,"(1.0, 0.4823529411764706, 0.6705882352941176)",#FF7BAB,10
violet,0.380392156863,0.305882352941,0.490196078431,"(0.38039215686274508, 0.30588235294117649, 0.49019607843137253)",#614E7D,11
powderblue,0.780392156863,0.901960784314,0.980392156863,"(0.7803921568627451, 0.90196078431372551, 0.98039215686274506)",#C7E6FA,12
powdersnow,0.886274509804,0.949019607843,0.98431372549,"(0.88627450980392153, 0.94901960784313721, 0.98431372549019602)",#E2F2FB,13
lightviolet,0.898039215686,0.670588235294,1.0,"(0.89803921568627454, 0.6705882352941176, 1.0)",#E5ABFF,14
lightblue2,0.501960784314,0.772549019608,1.0,"(0.50196078431372548, 0.77254901960784317, 1.0)",#80C5FF,15
lightyellow,0.98431372549,0.819607843137,0.545098039216,"(0.98431372549019602, 0.81960784313725488, 0.54509803921568623)",#FBD18B,16
lightpink,1.0,0.737254901961,0.83137254902,"(1.0, 0.73725490196078436, 0.83137254901960789)",#FFBCD4,17
lightgrey,0.823529411765,0.823529411765,0.823529411765,"(0.82352941176470584, 0.82352941176470584, 0.82352941176470584)",#D2D2D2,18
lightgrey2,0.909803921569,0.909803921569,0.909803921569,"(0.90980392156862744, 0.90980392156862744, 0.90980392156862744)",#E8E8E8,19
